itemid,shopid,isbn,title,author,publisher,publish_year,quality,price,display_price,book_url,catnum,userid,scraped_time,scraped_shop_id,scraped_page
8643501869,534779,9787521724493,会员经济：发现超级用户 缔造长期交易,罗比·凯尔曼·巴克斯特,中信出版社,2021-02,九五品,99.00,99.00,https://book.kongfz.com/534779/8643501869/,25000000000000000,14575648,2025-08-14T01:31:34.239234,534779,1
8643497820,534779,9787572105364,致敬最美逆行者暖心绘本：妈妈的秘密（精）,陈颖/著 起点  插画/绘,长江少年儿童出版社,2020-04,九五品,90.00,90.00,https://book.kongfz.com/534779/8643497820/,27000000000000000,14575648,2025-08-14T01:31:34.239305,534779,1
8642478930,534779,9787570602483,知猫：美国超人气专家解答猫咪行为问题,[美]帕姆·约翰逊-本奈特  著,湖北科学技术出版社,2020-09,九五品,125.00,125.00,https://book.kongfz.com/534779/8642478930/,26000000000000000,14575648,2025-08-14T01:31:34.239317,534779,1
8630390310,534779,9787505750746,这本书会让你睡着：给所有失眠者的疗愈书,[英]K·麦考伊、[英]哈德维克博士  著,中国友谊出版公司,2022-07,九五品,88.00,88.00,https://book.kongfz.com/534779/8630390310/,1000000000000000,14575648,2025-08-14T01:31:34.239330,534779,1
8487175236,534779,9787208172067,当代中国马克思主义道德理论研究,高国希；叶方兴,上海人民出版社,2021-08,全新,140.00,140.00,https://book.kongfz.com/534779/8487175236/,44000000000000000,14575648,2025-08-14T01:31:34.239342,534779,1
